id,name,latitude,longitude,old_province_name,new_province_name,territory,postal_code,country_name,country_code,geometry
0,Yangambi,0.77,24.43,Haut-Congo,Tshopo,Isangi,CD5105,République démocratique du Congo,CD,POINT (24.43 0.77)
1,Djugu,1.92,30.5,Haut-Congo,Ituri,Djugu,CD5405,République démocratique du Congo,CD,POINT (30.5 1.92)
2,Mongbwalu,1.95,30.03,Haut-Congo,Ituri,Djugu,CD5405,République démocratique du Congo,CD,POINT (30.03 1.95)
3,Moanda,-5.93,12.35,Bas-Congo,Kongo-Central,Moanda,CD2003,République démocratique du Congo,CD,POINT (12.35 -5.93)
4,Kinzau-Mvuete,-5.48,13.28,Bas-Congo,Kongo-Central,Seke-Banza,CD2009,République démocratique du Congo,CD,POINT (13.28 -5.48)
5,Seke-Banza,-5.33,13.27,Bas-Congo,Kongo-Central,Seke-Banza,CD2009,République démocratique du Congo,CD,POINT (13.27 -5.33)
6,Inkisi,-5.13,15.07,Bas-Congo,Kongo-Central,Mbanza-Ngungu,CD2013,République démocratique du Congo,CD,POINT (15.07 -5.13)
7,Inga,-5.65,13.65,Bas-Congo,Kongo-Central,Songololo,CD2011,République démocratique du Congo,CD,POINT (13.65 -5.65)
8,Matadi,-5.82,13.48,Bas-Congo,Kongo-Central,Songololo,CD2011,République démocratique du Congo,CD,POINT (13.48 -5.82)
9,Songololo,-5.7,14.03,Bas-Congo,Kongo-Central,Songololo,CD2011,République démocratique du Congo,CD,POINT (14.03 -5.7)
10,Luozi,-4.95,14.13,Bas-Congo,Kongo-Central,Luozi,CD2010,République démocratique du Congo,CD,POINT (14.13 -4.95)
11,Kiri,-1.45,19,Bandundu,MaÃ¯-Ndombe,Kiri,CD3303,République démocratique du Congo,CD,POINT (19 -1.45)
12,Oshwe,-3.4,19.5,Bandundu,MaÃ¯-Ndombe,Oshwe,CD3304,République démocratique du Congo,CD,POINT (19.5 -3.4)
13,Kutu,-2.73,18.15,Bandundu,MaÃ¯-Ndombe,Kutu,CD3306,République démocratique du Congo,CD,POINT (18.15 -2.73)
14,Masi-Manimba,-4.77,17.92,Bandundu,Kwilu,Masi-Manimba,CD3212,République démocratique du Congo,CD,POINT (17.92 -4.77)
15,Bagata,-3.73,17.95,Bandundu,Kwilu,Bagata,CD3202,République démocratique du Congo,CD,POINT (17.95 -3.73)
16,Kahemba,-5.25,19.7,Bandundu,Kwilu,Idiofa,CD3206,République démocratique du Congo,CD,POINT (19.7 -5.25)
17,Mangai,-4.04,19.53,Bandundu,Kwilu,Idiofa,CD3206,République démocratique du Congo,CD,POINT (19.53 -4.04)
18,Kenge,-4.83,16.9,Bandundu,Kwango,Kenge,CD3102,République démocratique du Congo,CD,POINT (16.9 -4.83)
19,Feshi,-6.12,18.17,Bandundu,Kwango,Feshi,CD3103,République démocratique du Congo,CD,POINT (18.17 -6.12)
20,Popokabaka,-5.7,16.58,Bandundu,Kwango,Popokabaka,CD3108,République démocratique du Congo,CD,POINT (16.58 -5.7)
21,Mushie,-3.02,16.92,Bandundu,MaÃ¯-Ndombe,Mushie,CD3311,République démocratique du Congo,CD,POINT (16.92 -3.02)
22,Bolomba,0.48,19.2,Equateur,Equateur,Bolomba,CD4108,République démocratique du Congo,CD,POINT (19.2 0.48)
23,Ingende,-0.25,18.95,Equateur,Equateur,Ingende,CD4109,République démocratique du Congo,CD,POINT (18.95 -0.25)
24,Bikoro,-0.75,18.12,Equateur,Equateur,Bikoro,CD4102,République démocratique du Congo,CD,POINT (18.12 -0.75)
25,Isangi,-0.85,18.37,Equateur,Equateur,Bikoro,CD4102,République démocratique du Congo,CD,POINT (18.37 -0.85)
26,Lukolela,-1.05,17.2,Equateur,Equateur,Lukolela,CD4103,République démocratique du Congo,CD,POINT (17.2 -1.05)
27,Bomongo,1.37,18.35,Equateur,Equateur,Bomongo,CD4104,République démocratique du Congo,CD,POINT (18.35 1.37)
28,Budjala,2.65,19.7,Equateur,Sud-Ubangi,Budjala,CD4203,République démocratique du Congo,CD,POINT (19.7 2.65)
29,Kungu,2.78,19.2,Equateur,Sud-Ubangi,Kungu,CD4204,République démocratique du Congo,CD,POINT (19.2 2.78)
30,Libenge,3.66,18.62,Equateur,Sud-Ubangi,Libenge,CD4205,République démocratique du Congo,CD,POINT (18.62 3.66)
31,Yakoma,4.1,22.43,Equateur,Nord-Ubangi,Yakoma,CD4304,République démocratique du Congo,CD,POINT (22.43 4.1)
32,Businga,3.34,20.87,Equateur,Nord-Ubangi,Businga,CD4305,République démocratique du Congo,CD,POINT (20.87 3.34)
33,Bosobolo,4.19,19.88,Equateur,Nord-Ubangi,Bosobolo,CD4306,République démocratique du Congo,CD,POINT (19.88 4.19)
34,Binga,2.4,20.42,Equateur,Mongala,Lisala,CD4402,République démocratique du Congo,CD,POINT (20.42 2.4)
35,Bongandanga,1.51,21.05,Equateur,Mongala,Bongandanga,CD4405,République démocratique du Congo,CD,POINT (21.05 1.51)
36,Befale,0.47,20.97,Equateur,Tshuapa,Befale,CD4503,République démocratique du Congo,CD,POINT (20.97 0.47)
37,Ikela,-1.18,23.27,Equateur,Tshuapa,Ikela,CD4505,République démocratique du Congo,CD,POINT (23.27 -1.18)
38,Bokungu,-0.68,22.32,Equateur,Tshuapa,Bokungu,CD4506,République démocratique du Congo,CD,POINT (22.32 -0.68)
39,Monkoto,-1.63,20.65,Equateur,Tshuapa,Monkoto,CD4507,République démocratique du Congo,CD,POINT (20.65 -1.63)
40,Bafwasende,1.08,27.27,Haut-Congo,Tshopo,Bafwasende,CD5111,République démocratique du Congo,CD,POINT (27.27 1.08)
41,Opala,1.28,27.27,Haut-Congo,Tshopo,Bafwasende,CD5111,République démocratique du Congo,CD,POINT (27.27 1.28)
42,Ubundu,-0.35,25.48,Haut-Congo,Tshopo,Ubundu,CD5102,République démocratique du Congo,CD,POINT (25.48 -0.35)
43,Yahuma,1.08,23.22,Haut-Congo,Tshopo,Yahuma,CD5107,République démocratique du Congo,CD,POINT (23.22 1.08)
44,Ango,4.03,25.87,Haut-Congo,Bas-Uele,Ango,CD5207,République démocratique du Congo,CD,POINT (25.87 4.03)
45,Bambesa,3.47,25.72,Haut-Congo,Bas-Uele,Bambesa,CD5209,République démocratique du Congo,CD,POINT (25.72 3.47)
46,Poko,3.15,26.88,Haut-Congo,Bas-Uele,Poko,CD5208,République démocratique du Congo,CD,POINT (26.88 3.15)
47,Niangara,3.7,27.87,Haut-Congo,Haut-Uele,Niangara,CD5303,République démocratique du Congo,CD,POINT (27.87 3.7)
48,Irumu,1.45,29.87,Haut-Congo,Ituri,Irumu,CD5402,République démocratique du Congo,CD,POINT (29.87 1.45)
49,Kituku,1.1,29.97,Haut-Congo,Ituri,Irumu,CD5402,République démocratique du Congo,CD,POINT (29.97 1.1)
50,Nioki,2.17,30.65,Haut-Congo,Ituri,Mahagi,CD5407,République démocratique du Congo,CD,POINT (30.65 2.17)
51,Kayna,-0.62,29.17,Nord-Kivu,Nord-Kivu,Lubero,CD6105,République démocratique du Congo,CD,POINT (29.17 -0.62)
52,Lubero,-0.16,29.22,Nord-Kivu,Nord-Kivu,Lubero,CD6105,République démocratique du Congo,CD,POINT (29.22 -0.16)
53,Mangina,0.57,29.32,Nord-Kivu,Nord-Kivu,Oicha,CD6107,République démocratique du Congo,CD,POINT (29.32 0.57)
54,Kanyabayonga,-0.71,29.17,Nord-Kivu,Nord-Kivu,Rutshuru,CD6111,République démocratique du Congo,CD,POINT (29.17 -0.71)
55,Kirumba,-1.09,29.29,Nord-Kivu,Nord-Kivu,Rutshuru,CD6111,République démocratique du Congo,CD,POINT (29.29 -1.09)
56,Masisi,-1.4,28.81,Nord-Kivu,Nord-Kivu,Masisi,CD6103,République démocratique du Congo,CD,POINT (28.81 -1.4)
57,Kibombo,-3.95,25.98,Maniema,Maniema,Kibombo,CD6313,République démocratique du Congo,CD,POINT (25.98 -3.95)
58,Lubutu,-0.73,26.58,Maniema,Maniema,Lubutu,CD6305,République démocratique du Congo,CD,POINT (26.58 -0.73)
59,Kalima,-2.51,26.43,Maniema,Maniema,Kailo,CD6302,République démocratique du Congo,CD,POINT (26.43 -2.51)
60,Punia,-1.45,26.42,Maniema,Maniema,Punia,CD6303,République démocratique du Congo,CD,POINT (26.42 -1.45)
61,Kolwezi,-10.7,25.66,Katanga,Lualaba,Mutshatsha,CD7202,République démocratique du Congo,CD,POINT (25.66 -10.7)
62,Mutshatsha,-10.65,24.45,Katanga,Lualaba,Mutshatsha,CD7202,République démocratique du Congo,CD,POINT (24.45 -10.65)
63,Fungurume,-10.62,26.3,Katanga,Lualaba,Lubudi,CD7203,République démocratique du Congo,CD,POINT (26.3 -10.62)
